Adam;Adama;M
Agata;Agaty;F
Agnieszka;Agnieszki;F
Aleksander;Aleksandra;M
Aleksandra;Aleksandry;F
Alicja;Alicji;F
Amelia;Amelii;F
Andrzej;Andrzeja;M
Aneta;Anety;F
Anna;Anny;F
Antoni;Antoniego;M
Artur;Artura;M
Barbara;Barbary;F
Bartosz;Bartosza;M
Beata;Beaty;F
Bożena;Bożeny;F
Czesław;Czesława;M
Damian;Damiana;M
Daniel;Daniela;M
Danuta;Danuty;F
Dariusz;Dariusza;M
Dawid;Dawida;M
Dorota;Doroty;F
Edward;Edwarda;M
Edyta;Edyty;F
Elżbieta;Elżbiety;F
Emilia;Emilii;F
Enya;Enyi;F
Ewa;Ewy;F
Ewelina;Eweliny;F
Filip;Filipa;M
Gabriela;Gabrieli;F
Genowefa;Genowefy;F
Grażyna;Grażyny;F
Grzegorz;Grzegorza;M
Halina;Haliny;F
Helena;Heleny;F
Henryk;Henryka;M
Igor;Igora;M
Irena;Ireny;F
Iwona;Iwony;F
Izabela;Izabeli;F
Jacek;Jacka;M
Jadwiga;Jadwigi;F
Jakub;Jakuba;M
Jan;Jana;M
Janina;Janiny;F
Janusz;Janusza;M
Jarosław;Jarosława;M
Jerzy;Jerzego;M
Joanna;Joanny;F
Józef;Józefa;M
Julia;Julii;F
Justyna;Justyny;F
Kacper;Kacpra;M
Kamil;Kamila;M
Karol;Karola;M
Karolina;Karoliny;F
Katarzyna;Katarzyny;F
Kazimiera;Kazimiery;F
Kazimierz;Kazimierza;M
Krystyna;Krystyny;F
Krzysztof;Krzysztofa;M
Lena;Leny;F
Leszek;Leszka;M
Łukasz;Łukasza;M
Maciej;Macieja;M
Magdalena;Magdaleny;F
Maja;Mai;F
Małgorzata;Małgorzaty;F
Marcel;Marcela;M
Marcin;Marcina;M
Marek;Marka;M
Maria;Marii;F
Marian;Mariana;M
Marianna;Marianny;F
Mariusz;Mariusza;M
Marta;Marty;F
Marta;Marty;F
Martyna;Martyny;F
Marzena;Marzeny;F
Mateusz;Mateusza;M
Maya;Mai;F
Michał;Michała;M
Mieczysław;Mieczysława;M
Mikołaj;Mikołaja;M
Milena;Mileny;F
Mirosław;Mirosława;M
Monika;Moniki;F
Nadia;Nadii;F
Natalia;Natalii;F
Nikola;Nikoli;F
Oliwia;Oliwii;F
Patrycja;Patrycji;F
Paulina;Pauliny;F
Paweł;Pawła;M
Piotr;Piotra;M
Przemysław;Przemysława;M
Rafał;Rafała;M
Renata;Renaty;F
Robert;Roberta;M
Roman;Romana;M
Ryszard;Ryszarda;M
Sebastian;Sebastiana;M
Sławomir;Sławomira;M
Sonya;Sonyi;F
Stanisław;Stanisława;M
Stanisława;Stanisławy;F
Stefania;Stefanii;F
Sylwia;Sylwii;F
Szymon;Szymona;M
Tadeusz;Tadeusza;M
Teresa;Teresy;F
Tomasz;Tomasza;M
Urszula;Urszuli;F
Waldemar;Waldemara;M
Wanda;Wandy;F
Wiesław;Wiesława;M
Wiesława;Wiesławy;F
Wiktor;Wiktora;M
Wiktoria;Wiktorii;F
Władysław;Władysława;M
Wojciech;Wojciecha;M
Zbigniew;Zbigniewa;M
Zdzisław;Zdzisława;M
Zofia;Zofii;F
Zuzanna;Zuzanny;F
